id,level,topic,question,query_type
a1-subject-pronouns-i-you-he-she-it-we-they,A1,subject pronouns,"When do I use subject pronouns like I, you, he, she, it, we, and they in a sentence?",rule_question
a1-subject-pronouns-i-you-he-she-it-we-they,A1,subject pronouns,Is this sentence correct: Her works in a bank.,sentence_correction
a1-subject-pronouns-i-you-he-she-it-we-they,A1,subject pronouns,Can I say 'She works in a bank' instead of using a name?,indirect_question
a1-verb-be-present,A1,verb be,"When do I use am, is, and are with different subjects?",rule_question
a1-verb-be-present,A1,verb be,She are happy. Is that correct?,sentence_correction
a1-verb-be-present,A1,verb be,"Do we say ""you is"" or ""you are""?",indirect_question
a1-verb-be-negatives,A1,verb be,How do I make negative sentences with the verb be?,rule_question
a1-verb-be-negatives,A1,verb be,I not am tired. Is that correct?,sentence_correction
a1-verb-be-negatives,A1,verb be,How do I say it if I want to say I'm not busy?,indirect_question
a1-verb-be-questions,A1,verb be,How do I make a question with the verb be in English?,rule_question
a1-verb-be-questions,A1,verb be,You are tired?,sentence_correction
a1-verb-be-questions,A1,verb be,Can I say 'Am I late?' when I ask about myself?,indirect_question
a1-articles-a-an-the,A1,articles,"When do I use a, an, or the before a noun?",rule_question
a1-articles-a-an-the,A1,articles,I saw an car on the street. Is that correct?,sentence_correction
a1-articles-a-an-the,A1,articles,"Can you tell me if I should say a, an, or the in this sentence?",indirect_question
a1-plurals-regular,A1,plurals,How do I make most regular nouns plural in English?,rule_question
a1-plurals-regular,A1,plurals,I saw three cat in the garden. Is that correct?,sentence_correction
a1-plurals-regular,A1,plurals,"If I have more than one book, should I write book or books?",indirect_question
a1-plurals-spelling-changes,A1,plurals,When do nouns take -es instead of just -s in the plural?,rule_question
a1-plurals-spelling-changes,A1,plurals,I saw two boxs in the room. Is that correct?,sentence_correction
a1-plurals-spelling-changes,A1,plurals,"Do all plural nouns just add -s, or are there other spelling changes too?",indirect_question
a1-present-simple-habit,A1,present simple,When do we use the present simple tense for routines or habits?,rule_question
a1-present-simple-habit,A1,present simple,"I go to work by bus every day. Is that right, or should it be ""I am go to work by bus""?",sentence_correction
a1-present-simple-habit,A1,present simple,How do I talk about something I usually do every day?,indirect_question
a1-present-simple-third-person,A1,present simple,When do I add -s or -es to a verb in the present simple?,rule_question
a1-present-simple-third-person,A1,present simple,She go to school every day.,sentence_correction
a1-present-simple-third-person,A1,present simple,Do I say 'it rain' or 'it rains' for the present simple?,indirect_question
a1-present-simple-do-does-negatives,A1,present simple,"When do I use do not or does not in present simple negatives, and should the main verb change too?",rule_question
a1-present-simple-do-does-negatives,A1,present simple,She does not plays tennis. Is this sentence correct?,sentence_correction
a1-present-simple-do-does-negatives,A1,present simple,How do I say a present simple negative without changing the main verb?,indirect_question
a1-present-simple-questions,A1,present simple,"How do I make a present simple question with a verb like ""speak""?",rule_question
