id,level,category,topic,title,rule,explanation,correct_example_1,correct_example_2,incorrect_example,corrected_example,error_reason,keywords
a1-subject-pronouns-i-you-he-she-it-we-they,A1,pronouns,subject pronouns,Subject pronouns before the verb,"Use subject pronouns such as I, you, he, she, it, we, and they before the verb.",Subject pronouns replace nouns and show who does the action.,She works in a bank.,They live in London.,Her works in a bank.,She works in a bank.,"Her is an object pronoun, not a subject pronoun.","subject pronouns, i you he she it we they, pronouns"
a1-verb-be-present,A1,verbs,verb be,Present form of be,"Use am with I, is with he, she, and it, and are with you, we, and they.",The verb be changes with the subject.,I am tired.,They are ready.,She are happy.,She is happy.,"She takes is, not are.","verb be, am is are, be"
a1-verb-be-negatives,A1,verbs,verb be,Negative form of be,"Form negatives with am not, is not, or are not.",Add not after the correct form of be.,He is not at home.,We are not late.,I not am hungry.,I am not hungry.,The negative comes after am: am not.,"am not, is not, are not, negative be"
a1-verb-be-questions,A1,verbs,verb be,Questions with be,"In questions, put am, is, or are before the subject.",Invert the subject and the verb be.,Are you from Spain?,Is he your brother?,You are from Spain?,Are you from Spain?,Questions with be need inversion.,"questions with be, are you, is he, am i"
a1-articles-a-an-the,A1,articles,articles,"Using a, an, and the","Use a before consonant sounds, an before vowel sounds, and the for specific things.",Choose the article by sound and meaning.,She has a car.,He is an engineer.,I bought an book.,I bought a book.,"Book begins with a consonant sound, so use a.","a an the, articles"
a1-plurals-regular,A1,nouns,plurals,Regular plural nouns,Add -s to make most plural nouns.,Use the plural form for more than one person or thing.,two cats,many desks,three cat,three cats,Plural nouns usually need -s.,"plurals, regular plurals, add s"
a1-plurals-spelling-changes,A1,nouns,plurals,Plural spelling changes,"Some nouns add -es, change y to ies, or have irregular plural forms.",Not all plurals are made the same way.,boxes and babies,children and men,two boxs,two boxes,Words ending in -x usually take -es.,"plurals, boxes, babies, irregular plurals"
a1-present-simple-habit,A1,tenses,present simple,Present simple for habits,"Use the present simple for routines, facts, and habits.",It describes things that happen regularly or are generally true.,We go to work by bus.,The sun rises in the east.,We are go to work by bus.,We go to work by bus.,The present simple does not use are with a main verb like go.,"present simple, habits, routines, facts"
a1-present-simple-third-person,A1,tenses,present simple,Third person singular present simple,"Add -s or -es to the verb with he, she, or it in the present simple.",The verb changes for third person singular.,She works from home.,It rains a lot here.,He work in a shop.,He works in a shop.,He takes the third person singular verb form.,"third person singular, present simple, s es"
a1-present-simple-do-does-negatives,A1,tenses,present simple,Do and does in negatives,Use do not or does not with the base verb in present simple negatives.,Do not change the main verb after do or does.,I do not like coffee.,She does not play tennis.,She does not plays tennis.,She does not play tennis.,"After does not, use the base verb play.","do not, does not, negatives, present simple"
a1-present-simple-questions,A1,tenses,present simple,Questions with do and does,Use do or does before the subject in present simple questions.,Do and does help make questions in the present simple.,Do you speak English?,Does he work here?,You speak English?,Do you speak English?,Present simple questions usually need do or does.,"do does questions, present simple"
a1-adjectives-order,A1,adjectives,adjective order,Adjectives before nouns,Put adjectives before nouns in English.,The adjective describes the noun.,a small house,an interesting book,a house small,a small house,Adjectives usually come before the noun.,"adjectives, order, before nouns"
a1-there-is-there-are,A1,structures,there is there are,There is and there are,Use there is for one thing and there are for more than one.,Choose the form by number.,There is a table in the room.,There are two chairs here.,There is two chairs here.,There are two chairs here.,"Two chairs is plural, so use there are.","there is, there are, singular plural"
a1-this-that-these-those,A1,demonstratives,demonstratives,"This, that, these, and those","Use this and these for near things, and that and those for farther things.",Singular words are this and that; plural words are these and those.,This is my pen.,Those are my shoes.,This are my shoes.,Those are my shoes.,"This is singular, but shoes is plural.","this that these those, demonstratives"
a1-possessive-adjectives,A1,pronouns,possessive adjectives,Possessive adjectives,"Use my, your, his, her, its, our, and their before nouns.",Possessive adjectives show who owns something.,This is my phone.,Their house is big.,This is me phone.,This is my phone.,Use possessive adjectives before nouns.,"possessive adjectives, my your his her its our their"
a2-countable-uncountable-nouns,A2,nouns,countable and uncountable nouns,Countable and uncountable nouns,Countable nouns can be singular or plural. Uncountable nouns are not usually plural.,Do not add a plural -s to most uncountable nouns.,a banana / two bananas,some rice / much rice,two rices,some rice,"Rice is uncountable, so it is not usually plural.","countable uncountable nouns, singular plural, rice"
a2-some-any,A2,determiners,some and any,Some and any,Use some in positive sentences and any in questions and negatives.,Some is common in offers and requests too.,I have some milk.,Do you have any money?,I do not have some milk.,I do not have any milk.,Any is normally used in negatives.,"some any, questions negatives"
a2-a-an-with-singular-countable,A2,articles,articles,A and an with singular countable nouns,Use a or an with singular countable nouns when the noun is not specific.,Do not use a/an with plural or uncountable nouns.,a teacher,an apple,an teachers,a teacher,"Teachers is plural, so do not use an with it.","a an, singular countable nouns"
a2-the-with-specific-things,A2,articles,definite article,The for specific nouns,Use the when both speaker and listener know which person or thing is meant.,The points to a specific noun.,The book on the table is mine.,"Open the window, please.","Open window, please.","Open the window, please.",A specific window needs the.,"the, definite article, specific noun"
a2-present-continuous-now,A2,tenses,present continuous,Present continuous for now,Use am/is/are + verb-ing for actions happening now or around now.,It describes temporary actions and current situations.,She is reading at the moment.,They are staying with friends this week.,She reads at the moment.,She is reading at the moment.,An action happening now usually needs the present continuous.,"present continuous, now, am is are ing"
a2-present-simple-vs-continuous,A2,tenses,present simple versus present continuous,Present simple or present continuous,Use the present simple for routines and the present continuous for temporary actions.,Choose the tense by meaning.,I work every day. / I am working today.,She usually walks to school. / She is walking now.,I am working every day.,I work every day.,A regular routine usually takes the present simple.,"present simple, present continuous, routines, temporary"
a2-past-simple-regular,A2,tenses,past simple,Past simple regular verbs,Add -ed to regular verbs in the past simple.,Use the past simple for finished actions in the past.,We watched a film last night.,He cleaned the kitchen yesterday.,We watch a film last night.,We watched a film last night.,A finished past time needs the past simple form.,"past simple, regular verbs, -ed"
a2-past-simple-irregular,A2,tenses,past simple,Irregular past simple verbs,Some common verbs have irregular past forms and do not add -ed.,Learn the past forms of common irregular verbs.,go → went,have → had,Yesterday I goed to work.,Yesterday I went to work.,Go has an irregular past form: went.,"irregular verbs, went, had, past simple"
a2-past-simple-negative-question,A2,tenses,past simple,Past simple negatives and questions,Use did not and did with the base verb in past simple negatives and questions.,"After did, use the base form of the verb.",I did not see him.,Did they arrive on time?,Did they arrived on time?,Did they arrive on time?,"After did, use the base verb arrive.","did not, did, past simple questions"
a2-future-going-to,A2,tenses,future forms,Be going to for plans,Use be going to for planned future actions and for strong predictions based on evidence.,It often refers to intention or clear signs.,We are going to visit my parents tomorrow.,Look at those clouds. It is going to rain.,We go to visit my parents tomorrow.,We are going to visit my parents tomorrow.,Future plans usually need be going to or another future form.,"going to, future plans, predictions"
a2-future-will,A2,tenses,future forms,Will for decisions and predictions,"Use will for spontaneous decisions, offers, and predictions.",Will is often used at the moment of speaking.,I will help you with that.,I think it will be busy today.,I am helping you with that tomorrow.,I will help you with that.,A spontaneous offer or decision often uses will.,"will, future predictions, offers, decisions"
a2-comparatives-short-adjectives,A2,adjectives,comparatives,Comparatives with short adjectives,"Use -er for many short adjectives, or more with longer adjectives.","Comparatives compare two people, places, or things.",This bag is cheaper than that one.,She is more careful than her brother.,This bag is more cheap than that one.,This bag is cheaper than that one.,"Cheap is a short adjective, so use cheaper.","comparatives, -er, more than"
a2-superlatives-short-adjectives,A2,adjectives,superlatives,Superlatives with adjectives,"Use -est for many short adjectives, or the most with longer adjectives.",Superlatives compare one thing with a group.,It is the smallest room in the house.,She is the most careful driver here.,It is the more small room in the house.,It is the smallest room in the house.,Small takes the superlative form smallest.,"superlatives, -est, the most"
a2-must-for-necessity,A2,modal verbs,modal verbs,Must for necessity,Use must for strong necessity or obligation.,It shows something is necessary.,You must wear a seat belt.,I must call my mother tonight.,You must to wear a seat belt.,You must wear a seat belt.,Do not use to after must.,"must, necessity, obligation"
a2-have-to-for-obligation,A2,modal verbs,modal verbs,Have to for obligation,Use have to for rules and outside obligations.,It often means the obligation comes from another person or rule.,I have to start work at eight.,She has to wear a uniform.,I have start work at eight.,I have to start work at eight.,Have to needs to before the verb.,"have to, obligation, rules"
a2-can-for-ability-and-permission,A2,modal verbs,modal verbs,Can for ability and permission,Use can to talk about ability or to ask for and give permission.,Can does not change with the subject.,I can swim.,Can we leave now?,He cans play the piano.,He can play the piano.,Can does not take -s.,"can, ability, permission"
a2-mustnt-and-dont-have-to,A2,modal verbs,modal verbs,Must not and do not have to,Must not means not allowed. Do not have to means not necessary.,These two forms have different meanings.,You must not smoke here.,You do not have to bring lunch.,You mustn't bring lunch because it is not necessary.,You do not have to bring lunch.,"Must not means prohibition, not lack of necessity.","must not, do not have to, prohibition, necessity"
a2-gerund-after-like-love-hate,A2,verbs,gerunds and infinitives,"Gerunds after like, love, and hate","Use the -ing form after like, love, and hate when they mean enjoyment or preference.",These verbs are often followed by a gerund.,I like reading.,She hates waiting.,I like to reading.,I like reading.,"After like, use the -ing form or a to-infinitive, not to reading.","gerund, -ing, like love hate"
a2-infinitive-after-want-need,A2,verbs,gerunds and infinitives,Infinitives after want and need,Use the to-infinitive after want and need.,These verbs are followed by to + verb.,I want to learn French.,We need to leave now.,I want learning French.,I want to learn French.,Want is followed by a to-infinitive.,"infinitive, to learn, want need"
a2-present-perfect-experience,A2,tenses,present perfect,Present perfect for life experience,Use have/has + past participle for experiences at an unspecified time.,The exact time is not important.,I have visited Rome.,She has never tried sushi.,I visited Rome before.,I have visited Rome.,Life experience often uses the present perfect when time is not specific.,"present perfect, experience, have has past participle"
a2-present-perfect-with-yet-already-just,A2,tenses,present perfect,"Yet, already, and just","Use yet in negative sentences and questions, already in positives, and just for very recent actions.",These words often go with the present perfect.,I have already finished.,Has he arrived yet?,I have finished yet.,I have not finished yet.,"Yet is usually used in negatives or questions, not positive statements.","yet already just, present perfect"
a2-present-perfect-vs-past-simple,A2,tenses,present perfect versus past simple,Present perfect or past simple,"Use the present perfect for unfinished time or life experience, and the past simple for finished past time.",Time expressions help you choose the tense.,I have seen that film. / I saw it yesterday.,She has lived here for years. / She moved here in 2020.,I have seen that film yesterday.,I saw that film yesterday.,"Yesterday is finished past time, so use the past simple.","present perfect, past simple, finished time, unfinished time"
a2-going-to-and-present-continuous-for-future,A2,tenses,future forms,Future plans with going to and present continuous,Use be going to or the present continuous for future arrangements and plans.,Both forms can talk about future intentions or fixed arrangements.,I am meeting Tom tomorrow.,We are going to buy a new sofa.,I meet Tom tomorrow.,I am meeting Tom tomorrow.,A future arrangement usually needs a future form.,"future arrangements, present continuous, going to"
